status,error,matrix_name,source,input_path,n_rows,drop_method,drop_ratio_target,drop_ratio_actual,risk_threshold,max_drop_per_row,keep_row_max_predecessor,forbid_empty_rows,dropped_nnz,dropped_rows,strict_lower_nnz_before,strict_lower_nnz_after,single_pred_rows_before,single_pred_rows_after,multi_pred_rows_before,multi_pred_rows_after,multi_pred_to_single_pred_rows,strict_chain_count_before,strict_chain_count_after,strict_chain_row_coverage_before,strict_chain_row_coverage_after,strict_chain_row_coverage_gain,strict_chain_row_coverage_gain_ratio,strict_chain_coverage_gain_per_drop_ratio,strict_chain_coverage_gain_per_drop_percent,frontier_safe_chain_row_coverage_before,frontier_safe_chain_row_coverage_after,frontier_safe_chain_row_coverage_gain,frontier_safe_chain_row_coverage_gain_ratio,frontier_safe_boundary_cut_before,frontier_safe_boundary_cut_after,frontier_safe_boundary_cut_reduction,effective_chain_rows_ge_8_before,effective_chain_rows_ge_8_after,effective_chain_rows_ge_8,effective_chain_rows_ge_8_gain,effective_chain_rows_ge_16_before,effective_chain_rows_ge_16_after,effective_chain_rows_ge_16,effective_chain_rows_ge_16_gain,effective_chain_rows_ge_32_before,effective_chain_rows_ge_32_after,effective_chain_rows_ge_32,effective_chain_rows_ge_32_gain,effective_chain_coverage_ge_8_before,effective_chain_coverage_ge_8_after,effective_chain_coverage_ge_8,effective_chain_coverage_ge_8_gain,effective_chain_coverage_ge_8_gain_per_drop_ratio,effective_chain_coverage_ge_8_gain_per_drop_percent,effective_chain_coverage_ge_16_before,effective_chain_coverage_ge_16_after,effective_chain_coverage_ge_16,effective_chain_coverage_ge_16_gain,effective_chain_coverage_ge_16_gain_per_drop_ratio,effective_chain_coverage_ge_16_gain_per_drop_percent,effective_chain_coverage_ge_32_before,effective_chain_coverage_ge_32_after,effective_chain_coverage_ge_32,effective_chain_coverage_ge_32_gain,effective_chain_coverage_ge_32_gain_per_drop_ratio,effective_chain_coverage_ge_32_gain_per_drop_percent,avg_chain_length_before,avg_chain_length_after,max_chain_length_before,max_chain_length_after,strict_chain_len_ge_8_before,strict_chain_len_ge_8_after,strict_chain_len_ge_16_before,strict_chain_len_ge_16_after,strict_chain_len_ge_32_before,strict_chain_len_ge_32_after,chain_gain_per_dropped_edge
ok,,t03_invalid_same_level_4,matrix-lower,data/matrices/regression/t03_invalid_same_level_4.mtx,4,wavefront-oriented,0.1,0.0,1.0,1,1,1,0,0,3,3,1,1,1,1,0,1,1,2,2,0,0.0,0.0,0.0,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2,2,0,0,0,0,0,0,0.0
ok,,t03_invalid_same_level_4,matrix-lower,data/matrices/regression/t03_invalid_same_level_4.mtx,4,scan-chain-aware,0.1,0.0,1.0,1,1,1,0,0,3,3,1,1,1,1,0,1,1,2,2,0,0.0,0.0,0.0,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2,2,0,0,0,0,0,0,0.0
ok,,t04_external_dep_chain_8,matrix-lower,data/matrices/regression/t04_external_dep_chain_8.mtx,8,no-drop,0.0,0.0,,0,1,1,0,0,11,11,1,1,5,5,0,1,1,2,2,0,0.0,0.0,0.0,7,7,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2,2,0,0,0,0,0,0,0.0
ok,,t04_external_dep_chain_8,matrix-lower,data/matrices/regression/t04_external_dep_chain_8.mtx,8,magnitude-drop,0.1,0.09090909090909091,1.0,1,1,1,1,1,11,10,1,2,5,4,1,1,1,2,3,1,0.125,1.375,0.013749999999999998,7,7,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2,3,0,0,0,0,0,0,1.0
ok,,t04_external_dep_chain_8,matrix-lower,data/matrices/regression/t04_external_dep_chain_8.mtx,8,wavefront-oriented,0.1,0.09090909090909091,1.0,1,1,1,1,1,11,10,1,2,5,4,1,1,1,2,3,1,0.125,1.375,0.013749999999999998,7,7,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2,3,0,0,0,0,0,0,1.0
ok,,t04_external_dep_chain_8,matrix-lower,data/matrices/regression/t04_external_dep_chain_8.mtx,8,scan-chain-aware,0.1,0.09090909090909091,1.0,1,1,1,1,1,11,10,1,2,5,4,1,1,2,2,4,2,0.25,2.75,0.027499999999999997,7,7,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2,2,0,0,0,0,0,0,2.0
ok,,t05_pure_chain_40,matrix-lower,data/matrices/regression/t05_pure_chain_40.mtx,40,no-drop,0.0,0.0,,0,1,1,0,0,39,39,39,39,0,0,0,1,1,40,40,0,0.0,0.0,0.0,40,40,0,0.0,0,0,0,40,40,40,0,40,40,40,0,40,40,40,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,40,40,1,1,1,1,1,1,0.0
ok,,t05_pure_chain_40,matrix-lower,data/matrices/regression/t05_pure_chain_40.mtx,40,magnitude-drop,0.1,0.0,1.0,1,1,1,0,0,39,39,39,39,0,0,0,1,1,40,40,0,0.0,0.0,0.0,40,40,0,0.0,0,0,0,40,40,40,0,40,40,40,0,40,40,40,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,40,40,1,1,1,1,1,1,0.0
ok,,t05_pure_chain_40,matrix-lower,data/matrices/regression/t05_pure_chain_40.mtx,40,wavefront-oriented,0.1,0.0,1.0,1,1,1,0,0,39,39,39,39,0,0,0,1,1,40,40,0,0.0,0.0,0.0,40,40,0,0.0,0,0,0,40,40,40,0,40,40,40,0,40,40,40,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,40,40,1,1,1,1,1,1,0.0
ok,,t05_pure_chain_40,matrix-lower,data/matrices/regression/t05_pure_chain_40.mtx,40,scan-chain-aware,0.1,0.0,1.0,1,1,1,0,0,39,39,39,39,0,0,0,1,1,40,40,0,0.0,0.0,0.0,40,40,0,0.0,0,0,0,40,40,40,0,40,40,40,0,40,40,40,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,40,40,1,1,1,1,1,1,0.0
